page,country,articlequality,FIPS,Name,Type,TimeFrame,Data (M),Population
,,,NORTHERN AMERICA,NORTHERN AMERICA,Sub-Region,2019.0,368.19300000000004,368193000.0
,,,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,Sub-Region,2019.0,651.036,651036000.0
,,,CENTRAL AMERICA,CENTRAL AMERICA,Sub-Region,2019.0,178.611,178611000.0
,,,SV,El Salvador,Country,2019.0,6.481,6481000.0
,,,HN,Honduras,Country,2019.0,9.863999999999999,9864000.0
,,,CARIBBEAN,CARIBBEAN,Sub-Region,2019.0,43.233000000000004,43233000.0
,,,CW,Curacao,Country,2019.0,0.155,155000.0
,,,PR,Puerto Rico,Country,2019.0,3.1889999999999996,3189000.0
,,,KN,St. Kitts-Nevis,Country,2019.0,0.054000000000000006,54000.0
,,,LC,Saint Lucia,Country,2019.0,0.182,182000.0
,,,VC,St. Vincent and the Grenadines,Country,2019.0,0.111,111000.0
,,,SOUTH AMERICA,SOUTH AMERICA,Sub-Region,2019.0,429.191,429191000.0
,,,ASIA,ASIA,Sub-Region,2019.0,4625.927,4625927000.0
,,,WESTERN ASIA,WESTERN ASIA,Sub-Region,2019.0,280.927,280927000.0
,,,GE,Georgia,Country,2019.0,3.715,3715000.0
,,,OM,Oman,Country,2019.0,4.713,4713000.0
,,,CENTRAL ASIA,CENTRAL ASIA,Sub-Region,2019.0,74.961,74961000.0
,,,SOUTH ASIA,SOUTH ASIA,Sub-Region,2019.0,1967.131,1967131000.0
,,,SOUTHEAST ASIA,SOUTHEAST ASIA,Sub-Region,2019.0,661.845,661845000.0
,,,BN,Brunei,Country,2019.0,0.469,469000.0
,,,TL,Timor-Leste,Country,2019.0,1.318,1318000.0
,,,EAST ASIA,EAST ASIA,Sub-Region,2019.0,1641.0629999999999,1641063000.0
,,,HK,"China, Hong Kong SAR",Country,2019.0,7.494,7494000.0
,,,MO,"China, Macao SAR",Country,2019.0,0.6859999999999999,686000.0
,,,EUROPE,EUROPE,Sub-Region,2019.0,746.622,746622000.0
,,,NORTHERN EUROPE,NORTHERN EUROPE,Sub-Region,2019.0,105.99,105990000.0
,,,Channel Islands,Channel Islands,Sub-Region,2019.0,0.172,172000.0
,,,WESTERN EUROPE,WESTERN EUROPE,Sub-Region,2019.0,195.479,195479000.0
,,,EASTERN EUROPE,EASTERN EUROPE,Sub-Region,2019.0,291.902,291902000.0
,,,CZ,Czechia,Country,2019.0,10.716,10716000.0
,,,SOUTHERN EUROPE,SOUTHERN EUROPE,Sub-Region,2019.0,153.251,153251000.0
,,,MK,North Macedonia,Country,2019.0,2.08,2080000.0
,,,OCEANIA,OCEANIA,Sub-Region,2019.0,43.155,43155000.0
,,,PF,French Polynesia,Country,2019.0,0.28,280000.0
,,,GU,Guam,Country,2019.0,0.175,175000.0
,,,NC,New Caledonia,Country,2019.0,0.295,295000.0
,,,PW,Palau,Country,2019.0,0.018000000000000002,18000.0
,,,WS,Samoa,Country,2019.0,0.2,200000.0
